Event,Time,Healthy People,Ill People,Recoverd people,RIP,
[sick],6.686930540420859e-06,499,501,0,0, 
[sick],7.439832047210877e-05,498,502,0,0, 
[sick],0.0003364425827230514,497,503,0,0, 
[sick],0.00037334083491459975,496,504,0,0, 
[sick],0.0004980974443003893,495,505,0,0, 
[sick],0.0005510087813718152,494,506,0,0, 
[sick],0.0010398715258542206,493,507,0,0, 
[sick],0.0013416756280830399,492,508,0,0, 
[sick],0.0015773417908187689,491,509,0,0, 
[sick],0.0018016954335368224,490,510,0,0, 
[sick],0.0021383600159291727,489,511,0,0, 
[sick],0.002138726526546464,488,512,0,0, 
[sick],0.0021912430125021493,487,513,0,0, 
[sick],0.002827843656004958,486,514,0,0, 
[sick],0.0030365099736801853,485,515,0,0, 
[sick],0.0030948128615505333,484,516,0,0, 
[sick],0.003176258812530749,483,517,0,0, 
[sick],0.003238412353017892,482,518,0,0, 
[sick],0.0034206102218822592,481,519,0,0, 
[sick],0.003718077578389619,480,520,0,0, 
[sick],0.0037524472367802385,479,521,0,0, 
[sick],0.0038342939876060684,478,522,0,0, 
[sick],0.0040306937286307696,477,523,0,0, 
[sick],0.0044142828465828805,476,524,0,0, 
[sick],0.004590474816955888,475,525,0,0, 
[sick],0.004804944662667003,474,526,0,0, 
[sick],0.004879383112761502,473,527,0,0, 
[sick],0.004927146709332255,472,528,0,0, 
[sick],0.005204974825321164,471,529,0,0, 
[sick],0.005250456325668231,470,530,0,0, 
[sick],0.005260970314753887,469,531,0,0, 
[sick],0.005305366497399276,468,532,0,0, 
[sick],0.005368340591981206,467,533,0,0, 
[sick],0.005727717203090804,466,534,0,0, 
[sick],0.0059749610507209535,465,535,0,0, 
[sick],0.006152792094925046,464,536,0,0, 
[sick],0.006163720620837677,463,537,0,0, 
[sick],0.006400388919119775,462,538,0,0, 
[sick],0.006793480142544225,461,539,0,0, 
[sick],0.006818343046861369,460,540,0,0, 
[sick],0.007891508075228653,459,541,0,0, 
[sick],0.008212352229048314,458,542,0,0, 
[sick],0.008562609515319742,457,543,0,0, 
